"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","128","Cenário 1: Deve criar um novo usuário com sucesso","Gerenciamento de Usuários - Endpoints /usuarios","2026-08-12","passed","2026-08-12","","POST /usuarios - Criação de novos usuários","",""
"","284","Cenário 1: Deve deletar com sucesso","Gerenciamento de Usuários - Endpoints /usuarios","2026-08-12","passed","2026-08-12","","DELETE /usuarios/{id} - Exclusão","",""
"","275","Cenário 2: Não deve deletar usuário com carrinho cadastrado","Gerenciamento de Usuários - Endpoints /usuarios","2026-08-12","passed","2026-08-12","","DELETE /usuarios/{id} - Exclusão","",""
"","257","Cenário 1: Deve retornar informações de um usuário existente","Gerenciamento de Usuários - Endpoints /usuarios","2026-08-12","passed","2026-08-12","","GET /usuarios/{id} - Detalhes específicos","",""
"","179","Cenário 2: Deve retornar erro ao tentar cadastrar usuário com e-mail existente","Gerenciamento de Usuários - Endpoints /usuarios","2026-08-12","passed","2026-08-12","","POST /usuarios - Criação de novos usuários","",""
"","177","Cenário 1: Deve listar todos os usuários (Teste de Contrato)","Gerenciamento de Usuários - Endpoints /usuarios","2026-08-12","passed","2026-08-12","","GET /usuarios - Listagem de usuários","",""
"","259","Cenário 1: Deve atualizar com sucesso","Gerenciamento de Usuários - Endpoints /usuarios","2026-08-12","passed","2026-08-12","","PUT /usuarios/{id} - Atualização","",""
